province;red;green;blue;x;x
1;1;1;1;ZERZERZERZER;x
2;33;1;4;ZERZERZERONE;x
3;65;1;7;ZERZERZERTWO;x
4;97;1;10;ZERZERZERTHR;x
5;129;1;13;ZERZERZERFO;x
6;161;1;16;ZERZERZERFIV;x
7;193;1;19;ZERZERZERSIX;x
8;225;1;22;ZERZERZERSEV;x
9;2;1;25;ZERZERZEREIG;x
10;34;1;28;ZERZERZERNIN;x
11;66;1;31;ZERZERONEZER;x
12;98;1;34;ZERZERONEONE;x
13;130;1;37;ZERZERONETWO;x
14;162;1;40;ZERZERONETHR;x
15;194;1;43;ZERZERONEFO;x
16;226;1;46;ZERZERONEFIV;x
17;3;1;49;ZERZERONESIX;x
18;35;1;52;ZERZERONESEV;x
19;67;1;55;ZERZERONEEIG;x
20;99;1;58;ZERZERONENIN;x
21;131;1;61;ZERZERTWOZER;x
22;163;1;64;ZERZERTWOONE;x
23;195;1;67;ZERZERTWOTWO;x
24;227;1;70;ZERZERTWOTHR;x
25;4;1;73;ZERZERTWOFO;x
26;36;1;76;ZERZERTWOFIV;x
27;68;1;79;ZERZERTWOSIX;x
28;100;1;82;ZERZERTWOSEV;x
29;132;1;85;ZERZERTWOEIG;x
30;164;1;88;ZERZERTWONIN;x
31;196;1;91;ZERZERTHRZER;x
32;228;1;94;ZERZERTHRONE;x
33;5;1;97;ZERZERTHRTWO;x
34;37;1;100;ZERZERTHRTHR;x
35;69;1;103;ZERZERTHRFO;x
36;101;1;106;ZERZERTHRFIV;x
37;133;1;109;ZERZERTHRSIX;x
38;165;1;112;ZERZERTHRSEV;x
39;197;1;115;ZERZERTHREIG;x
40;229;1;118;ZERZERTHRNIN;x
41;6;1;121;ZERZERFOZER;x
42;38;1;124;ZERZERFOONE;x
43;70;1;127;ZERZERFOTWO;x
44;102;1;130;ZERZERFOTHR;x
45;134;1;133;ZERZERFOFO;x
46;166;1;136;ZERZERFOFIV;x
47;198;1;139;ZERZERFOSIX;x
48;230;1;142;ZERZERFOSEV;x
49;7;1;145;ZERZERFOEIG;x
50;39;1;148;ZERZERFONIN;x
51;71;1;151;ZERZERFIVZER;x
52;103;1;154;ZERZERFIVONE;x
53;135;1;157;ZERZERFIVTWO;x
54;167;1;160;ZERZERFIVTHR;x
55;199;1;163;ZERZERFIVFO;x
56;231;1;166;ZERZERFIVFIV;x
57;8;1;169;ZERZERFIVSIX;x
58;40;1;172;ZERZERFIVSEV;x
59;72;1;175;ZERZERFIVEIG;x
60;104;1;178;ZERZERFIVNIN;x
61;136;1;181;ZERZERSIXZER;x
62;168;1;184;ZERZERSIXONE;x
